spectrum,continuum_subtracted_spectrum,error
3.40897,1.10437,1.60672
2.49052,0.185919,1.54131
3.06796,0.739477,1.56152
3.79888,1.44744,1.51513
3.45161,1.10479,1.48159
4.60353,2.24819,1.50219
3.12252,0.767176,1.52169
2.7301,0.389606,1.54024
2.30941,-0.0287976,1.54952
2.35957,0.0213623,1.58046
3.81669,1.45276,1.61881
3.46847,1.10454,1.57783
0.583669,-1.78026,1.48316
1.93069,-0.456547,1.45327
4.45943,2.07219,1.48554
3.22503,0.837793,1.43338
0.645816,-1.74142,1.39449
5.27075,2.89382,1.53982
3.04119,0.657346,1.63511
1.31993,-1.08569,1.62014
4.14846,1.74284,1.73658
3.51358,1.12974,1.62175
-2.44605,-4.82989,1.44151
3.06688,0.683037,1.44069
2.87289,0.478864,1.42166
0.613594,-1.80112,1.34599
-0.15204,-2.54607,1.32032
2.13578,-0.258245,1.36904
3.29998,0.927585,1.37363
-3.71219,-6.10622,1.26791
0.915884,-1.47542,1.38498
2.51658,0.135017,1.48398
2.78014,0.385794,1.49353
2.28966,-0.126467,1.44903
0.206349,-2.23238,1.4381
2.34186,-0.110276,1.43313
2.64802,0.195884,1.37327
4.47996,2.02782,1.38753
3.51533,1.06319,1.36027
1.62237,-0.850788,1.30157
2.67856,0.182521,1.34387
2.17097,-0.302188,1.31276
2.66564,0.192482,1.30664
1.79887,-0.674288,1.32016
2.5683,0.0951421,1.40511
3.52829,1.04013,1.42036
1.0901,-1.42063,1.38325
-1.8602,-4.37976,1.31362
-0.176568,-2.71988,1.29509
2.34076,-0.226245,1.35226
2.44046,-0.10358,1.38466
2.45698,-0.0649815,1.42366
3.88793,1.36597,1.3951
1.93196,-0.598073,1.3093
3.31739,0.772443,1.31393
3.82451,1.2581,1.32988
0.945171,-1.62,1.27027
-0.0593343,-2.60361,1.29213
3.42406,0.888597,1.38185
2.29345,-0.237217,1.4235
2.67449,0.132349,1.43655
-0.441392,-2.96481,1.36882
0.722645,-1.80077,1.32495
3.5778,1.05154,1.37146
2.85762,0.311778,1.37537
6.23567,3.66985,1.42348
1.71833,-0.830827,1.31756
3.10932,0.580275,1.32822
5.06033,2.55131,1.34151
2.27676,-0.211298,1.30285
-0.778787,-3.26064,1.28457
3.00126,0.538818,1.31
1.73119,-0.713024,1.32498
4.34136,1.9155,1.38883
3.95547,1.54856,1.4425
1.46235,-0.944563,1.36408
3.18732,0.780407,1.37307
4.69299,2.3047,1.35549
3.37241,0.990103,1.28699
0.14866,-2.24465,1.21208
0.144681,-2.22956,1.17696
2.23175,-0.122964,1.30982
2.91657,0.561856,1.37005
4.01784,1.66313,1.40871
1.22549,-1.10757,1.33103
0.319012,-2.01405,1.26784
0.89149,-1.4198,1.26285
1.55436,-0.775429,1.24165
2.36538,0.0545833,1.27793
3.17159,0.88089,1.29279
1.47806,-0.81264,1.28216
-1.00982,-3.27858,1.20498
0.45449,-1.81427,1.18606
3.20301,0.914825,1.24239
2.60112,0.334852,1.27908
1.84023,-0.40419,1.33982
-0.00854734,-2.22965,1.36438
2.98891,0.74449,1.39035
5.15265,2.88638,1.35981
4.29101,2.00985,1.27855
3.03639,0.755234,1.20337
2.01663,-0.286469,1.22363
2.95561,0.652511,1.29079
1.46145,-0.82149,1.30179
2.70336,0.441221,1.27545
4.5129,2.24115,1.34301
2.143,-0.151473,1.28134
1.48785,-0.828498,1.17871
2.1386,-0.16786,1.20187
1.47159,-0.834222,1.2066
1.12117,-1.18464,1.16946
2.56753,0.261718,1.22718
4.66012,2.33421,1.29155
4.58169,2.27588,1.32064
3.79887,1.50016,1.31361
3.08247,0.806484,1.27956
2.29651,0.0205238,1.25141
1.54059,-0.713025,1.19005
1.65403,-0.588132,1.21159
3.11987,0.877708,1.24363
2.49469,0.22831,1.24718
2.69234,0.42596,1.22613
3.48663,1.21672,1.27838
2.83951,0.561251,1.21768
0.794536,-1.48318,1.17177
1.11278,-1.16958,1.19685
2.40632,0.145945,1.22849
2.59944,0.321673,1.19757
2.334,0.0562334,1.17284
2.1083,-0.169467,1.19176
2.20149,-0.0762768,1.21699
3.36722,1.06747,1.23347
3.34478,1.03057,1.22731
3.32799,1.0343,1.27986
2.21709,-0.0865254,1.27299
1.26735,-1.03627,1.24968
2.0377,-0.289375,1.2034
2.12557,-0.201505,1.21008
2.31069,0.00707459,1.192
-0.120435,-2.43135,1.11243
-0.319089,-2.60948,1.06118
1.08619,-1.18227,1.14587
0.199911,-2.09048,1.17932
0.0407099,-2.24968,1.22285
3.99058,1.72212,1.38727
3.98038,1.725,1.40967
1.33684,-0.939773,1.26412
1.49696,-0.756433,1.17964
4.17847,1.90186,1.23208
1.00433,-1.27228,1.26373
0.726335,-1.52706,1.26778
1.91954,-0.311702,1.32506
1.7188,-0.512442,1.24602
0.59224,-1.639,1.09591
1.14094,-1.0695,1.12897
3.42615,1.23871,1.18249
1.67983,-0.530612,1.19014
2.55313,0.342688,1.24799
2.05035,-0.170923,1.24428
0.570439,-1.65083,1.2592
1.44413,-0.80003,1.27686
1.70447,-0.539689,1.29066
4.93083,2.66419,1.62434
2.49536,0.228716,1.50787
0.903329,-1.38525,1.1955
1.71978,-0.590681,1.16676
1.12093,-1.20008,1.16108
1.50314,-0.817868,1.19401
3.95175,1.63074,1.23243
3.94234,1.59755,1.23557
2.96814,0.610355,1.23073
3.48954,1.15399,1.27401
4.34948,2.03756,1.2746
1.67539,-0.639598,1.1686
1.61434,-0.715339,1.13845
1.96508,-0.364599,1.17331
2.591,0.261322,1.17232
3.21661,0.886931,1.14519
3.17599,0.869936,1.15799
2.92909,0.623036,1.20256
2.05511,-0.271722,1.23282
2.58065,0.277538,1.27834
2.70231,0.379201,1.27266
3.01379,0.690681,1.24836
3.95825,1.63514,1.17971
1.60699,-0.692701,1.09786
1.13161,-1.16054,1.08884
0.948927,-1.3478,1.07942
-0.284978,-2.57429,1.07801
0.0929127,-2.1964,1.22006
2.31193,0.0226169,1.28528
-0.00459375,-2.29769,1.24363
3.53395,1.2326,1.22411
3.20928,0.907925,1.1821
1.18066,-1.0965,1.10014
2.02911,-0.233542,1.13429
4.40409,2.16258,1.14969
2.42352,0.185214,1.11012
3.30836,1.04892,1.06648
0.967301,-1.31352,1.01733
2.47108,0.211637,1.03885
4.05856,1.79594,1.08639
0.36747,-1.89515,1.04298
3.89695,1.60984,1.10805
3.48604,1.22342,1.12994
3.81191,1.56395,1.13071
2.41318,0.165222,1.11027
1.06515,-1.19905,1.07202
2.93444,0.685761,1.08329
3.15936,0.931818,1.13399
4.21063,1.97577,1.15413
1.80521,-0.434845,1.16564
1.77594,-0.472142,1.19071
3.53096,1.26174,1.22335
2.19126,-0.0728972,1.13025
0.990206,-1.25313,1.10031
1.87117,-0.350701,1.14691
3.76438,1.53153,1.24454
3.52235,1.2895,1.25492
0.967568,-1.25938,1.19997
-0.287855,-2.51851,1.15915
2.52946,0.290626,1.13438
1.46971,-0.791791,1.07352
4.09171,1.83021,1.16004
3.15279,0.881241,1.17267
-0.0518669,-2.34812,1.07975
1.24954,-1.072,1.05358
1.89399,-0.453239,1.0416
1.54825,-0.773747,1.06334
3.62339,1.30424,1.09432
1.9227,-0.396446,1.12207
0.836415,-1.4984,1.09652
4.66595,2.33114,1.14589
0.441708,-1.8931,1.0354
3.00647,0.648068,1.0685
3.33243,0.964742,1.09091
4.2595,1.89181,1.1595
5.78287,3.41518,1.30473
4.37719,1.98626,1.31646
2.8343,0.443369,1.24826
1.84299,-0.547941,1.15786
2.793,0.380244,1.08814
2.77859,0.380805,1.08292
2.95654,0.539362,1.1038
4.16227,1.72236,1.17043
0.905086,-1.51209,1.20438
3.04293,0.625752,1.29659
2.41947,-0.00499201,1.34529
1.60216,-0.813573,1.26849
1.89347,-0.508942,1.28801
1.77683,-0.625582,1.20157
2.90854,0.495247,1.12767
2.40749,-0.0271709,1.08206
1.73391,-0.722741,1.07425
2.94309,0.49717,1.14519
3.09419,0.64827,1.38705
0.956088,-1.48983,1.89573
3.83523,1.38931,2.19368
4.01502,1.5773,2.00061
-0.113156,-2.55088,1.60504
2.57945,0.122376,1.41773
5.26163,2.79246,1.33
-0.572273,-3.04682,1.2413
2.90239,0.421242,1.35055
0.357617,-2.11341,1.27535
0.866523,-1.58661,1.2752
2.04513,-0.408,1.29077
1.49216,-0.96097,1.22694
0.689586,-1.77656,1.14383
0.490584,-1.96373,1.12048
3.03156,0.593865,1.13026
2.16655,-0.271145,1.12516
2.82716,0.389465,1.16524
3.11082,0.653914,1.29279
-0.16542,-2.62233,1.19394
2.12062,-0.336286,1.17351
1.34742,-1.10455,1.17081
2.1906,-0.280323,1.214
3.63533,1.14662,1.20865
2.98643,0.498942,1.19696
1.55351,-0.933978,1.17598
4.15371,1.68401,1.18687
3.11269,0.661946,1.16107
3.69384,1.2431,1.14765
2.82475,0.355051,1.13025
1.32023,-1.14947,1.14601
2.11568,-0.364863,1.11263
1.32282,-1.15772,1.02875
2.43012,-0.0313921,1.06315
0.186247,-2.27526,1.19949
0.308651,-2.1433,1.25773
2.57544,0.142575,1.13151
2.27979,-0.157581,1.14239
2.4664,0.0473347,1.1202
3.33279,0.932261,1.14419
3.05997,0.672407,1.12114
2.42395,0.046334,1.04783
1.4905,-0.881948,1.05239
0.793298,-1.57915,1.09809
2.73585,0.363402,1.13001
1.19011,-1.16317,1.04496
0.753789,-1.59949,1.05853
2.24775,-0.124698,1.0812
3.9337,1.55808,1.16507
3.44161,1.06599,1.20746
0.296176,-2.0755,1.18685
2.17236,-0.217983,1.17782
3.44322,1.07154,1.15719
3.89715,1.52548,1.22461
3.9938,1.64124,1.1856
3.05346,0.700899,1.19398
1.90987,-0.442691,1.14598
2.6788,0.326239,1.12819
1.47876,-0.879198,1.11708
2.45821,0.0913589,1.09814
3.72443,1.37669,1.07853
1.72589,-0.604043,1.02661
2.98265,0.652717,1.0664
2.74516,0.431788,1.14411
2.24772,-0.0822132,1.18062
1.00695,-1.33506,1.12291
1.16761,-1.1744,1.02475
3.14147,0.799461,1.04257
0.846922,-1.51284,1.02197
2.96072,0.582471,1.09859
3.3711,0.992851,1.11763
1.76762,-0.62801,1.08517
2.72913,0.350881,1.07805
5.92692,3.53009,1.08178
1.81384,-0.571646,1.01873
1.38368,-1.00064,0.991422
1.70655,-0.677774,1.01068
2.28405,-0.0889976,1.03969
2.48749,0.114442,1.1108
1.68102,-0.708345,1.12049
1.90435,-0.485015,1.09397
2.40996,0.0205951,1.06477
3.73915,1.3661,1.07781
3.2985,0.915866,1.05567
2.44916,0.0665259,1.01777
3.06022,0.661856,1.03699
1.44917,-0.942322,1.00906
4.25301,1.86931,1.04572
3.72383,1.3244,1.05369
2.50608,0.09079,1.06457
2.84424,0.42895,1.10769
3.10038,0.700948,1.13939
2.54408,0.136229,1.09772
2.35475,-0.0495627,1.01063
2.82194,0.401769,1.00814
2.46774,0.0475695,0.983793
1.65225,-0.76792,0.994083
2.00937,-0.426814,1.00604
3.19276,0.756576,1.04331
3.36774,0.947569,1.04601
2.62213,0.1904,1.043
1.50288,-0.917085,1.03649
1.84401,-0.572606,1.06445
3.80821,1.37582,1.07352
3.47402,1.04163,1.03996
4.29937,1.86698,1.05135
2.11739,-0.315001,1.00714
1.78339,-0.649001,1.02117
2.61051,0.178119,1.0489
1.30117,-1.13122,1.0328
3.14101,0.693683,1.04958
2.85505,0.39168,1.00532
2.26663,-0.182061,1.00545
1.82774,-0.633504,0.992843
1.95939,-0.512643,0.989488
2.09275,-0.379283,0.976686
0.237234,-2.2267,0.96432
3.67347,1.19606,1.01923
3.39819,0.906822,1.0454
3.57175,1.06593,1.03445
4.30792,1.78783,1.04451
1.84064,-0.665183,0.960983
0.80987,-1.69595,0.914733
1.58618,-0.933912,0.931218
1.69795,-0.835043,0.926192
2.02005,-0.49937,0.969458
2.2824,-0.22327,0.970974
1.2165,-1.28917,0.944751
0.340674,-2.165,0.910971
2.26543,-0.240617,0.954274
